Date,Location,Aboard,Fatalities
7/22/2004,"Off  Macaé , Rio de Janeiro , Brazil",11,6
7/29/2004,"Ononge, Papua New Guinea",3,2
8/13/2004,"Cincinnati, Ohio",2,1
8/17/2004,"Great Falls, Montana",2,2
8/18/2004,"Near Goma, DemocratiRepubliCongo",3,3
8/21/2004,"Near Maracay, Venezuela",25,25
8/24/2004,"Near Rostov-on-Don, Russia",46,46
8/24/2004,"Near Toula, Russia",41,41
8/27/2004,"Near MGrath, Alaska",3,1
9/9/2004,"Villahermosa, Mexico",2,2
9/11/2004,"Off Mount Athos, Greece",17,17
9/29/2004,"Tortuguero lagoon, Puerto Rico",1,1
10/5/2004,"Kaduqli, Sudan",4,4
11/22/2004,"Houston, Texas",3,3
11/27/2004,"Near Bagram, Afghanstan",6,6
10/14/2004,"Jefferson City, Missouri",2,2
10/14/2004,"Halifax, Nova Scotia, Canada",7,7
10/15/2004,"Near Medellin, Colombia",3,3
10/16/2004,"Coron Island, Philippines",2,2
10/19/2004,"Near Kirksville, Missouri",15,13
10/24/2004,"Martinsville, Virginia",10,10
10/24/2004,"San Diego, California",5,5
11/18/2004,"Caracas, Venezuela",21,3
11/21/2004,"Baotou, Inner Mongolia, China",53,53
11/28/2004,"Montrose, Colorado",6,3
11/30/2004,"Solo, Indonesia",154,26
11/30/2004,"Saint Louis, Missouri",2,2
12/6/2004,"Bellevue, Idaho",2,2
12/7/2004,"Near La Macarena, Colombia",6,6
12/10/2004,"El Junquito, Venezuela",16,16
12/11/2004,"Uberaba, Brazil",2,2
12/11/2004,"Near Jeddah, Saudi Arabia",7,1
1/13/2005,"Manguipayan, Colombia",20,20
1/13/2005,"Tura,Siberia, Russia",9,9
1/13/2005,"Keene, New Hampshire",1,1
1/26/2005,"Rutbah, Iraq",31,31
1/27/2005,"Lasi, Hungary",2,2
1/30/2005,"Near Al Taji, Iraq",10,10
2/3/2005,"Near Peshawar, Pakistan",104,104
2/3/2005,"Near Khartoum, Sudan",7,7
2/10/2005,"Lebec, California",2,2
2/16/2005,"Near Pueblo, Colorado",8,8
2/22/2005,"Bimin, Papua, New Guinea",13,2
2/22/2005,,18,15
3/8/2005,"Chrallave, Venezuela",2,2
3/15/2005,"Off Campbeltown, United Kingdom",2,2
3/16/2005,"Varandey, Russia",52,28
3/23/2005,"Off Mwanza, Tanzania",8,8
3/26/2005,"El Embrujo, Providencia Island, Colombia",14,8
3/31/2005,"Near Rovie, Albania",9,9
4/12/2005,"Enarotali, Indonesia",18,18
4/20/2005,"Tehran, Iran",169,3
4/28/2005,"Pisco, Peru",13,13
5/2/2005,"Taranaki, New Zealand",2,2
5/5/2005,"Near Kisangani, DemocratiRepubliCongo",11,10
5/7/2005,"Lockhart River, Queensland, Australia",15,15
5/16/2005,"El Portezulo, Argentina",10,10
5/18/2005,"Mongu, Zambia",13,13
5/25/2005,"Walungu, Congo",27,27
6/2/2005,"Khartoom, Sudan",42,7
7/16/2005,"Baney, Equatorial Guinea",60,60
8/2/2005,"Toronto, Canada",309,0
8/6/2005,"Off Palermo, Italy",39,16
8/10/2005,"Off Talinn, Estonia",14,14
8/14/2005,"Near Grammatikos, Greece",121,121
8/16/2005,"Near La Cucharita, Venezuela",160,160
8/23/2005,"Near Pucallpa, Peru",98,40
9/5/2005,"Isiro, DemoctratiRepubliCongo",11,11
9/5/2005,"Medan, Indonesia",117,99
9/9/2005,"Near Brazzaville, Congo",14,14
9/15/2005,"Alto da Boa Vista, Brazil",2,2
9/16/2005,"San Juan de Manapiare, Venezuela",4,4
9/23/2005,"Haena, Hawaii",6,4
10/4/2005,"Aru, DemocratiRepubliCogo",100,2
10/6/2005,"Winnipeg, Canada",1,1
10/22/2005,"Lisa, Nigeria",117,117
11/19/2005,"Stupino, Russia",8,8
12/6/2005,"Tehran, Iran",94,94
12/8/2005,"Chicago, Illinois",103,0
12/10/2005,"Near Port Harcourt, Nigeria",109,108
12/19/2005,"Off Miami Beach, Florida",20,20
12/23/2005,"Nardaran, Azerbaijan",23,23
11/17/2006,"Puncak Jaya, Indonesia",12,12
12/28/2005,"Truckee, California",2,2
1/2/2006,Near Karkov,3,3
1/8/2006,"Bukalaza, Uganda",6,6
1/9/2006,"Near Orumiyeh, Iran",11,11
1/19/2006,"Near Telkibanya, Hungary",43,42
1/21/2006,"Near Port Alberni, British Columbia, Canada",8,3
2/5/2006,"Near Watertown, Wisconson",3,3
2/8/2006,"Near Paris, Tennessee",1,1
3/7/2006,"Labiano, Spain",6,6
3/9/2006,"Near La Paz, Bolivia",6,6
3/18/2006,"Butte, Montana",2,2
3/24/2006,"Cuenca, Ecuador",14,5
3/31/2006,"Rio Bonito, Brazil",19,19
4/10/2006,"Marsabit, Kenya",17,14
4/23/2006,"Kousséri, Cameroon",6,6
4/23/2006,"Near Tersky, Russia",5,4
4/24/2006,"Lashkar Gah, Afghanistan",16,2
4/28/2006,"Peak Margarita, Uganda",3,3
5/3/2006,"Off Sochi, Russia",113,113
5/14/2006,"La Ronge, Saskatchewan",3,1
5/23/2006,Off São Tomé Island,4,4
6/2/2006,"Groton, Connecticut",5,2
6/3/2006,"Yaocun, China",40,40
6/8/2006,"Mullan, Idaho",2,2
6/11/2006,"Abéché, Chad",7,5
6/21/2006,"Jumla, Napal",9,9
6/30/2006,"Vilanculos, Mozambique",3,1
7/2/2006,"Hamburg, Germany",6,5
7/7/2006,"Sake, DemocratiRepubliCongo",5,5
7/9/2006,"Irkutsk, Russia",203,128
7/10/2006,"Multan, Pakistan",45,45
8/3/2006,"Bukavu, DemocratiRepubliCongo",17,17
11/18/2006,"Near Leticia, Colombia",5,5
8/4/2006,"Near Pownal, Vermont",1,1
8/13/2006,"Near Piacenza, Italy",3,3
8/22/2006,"Near Donetsk, Ukraine",170,170
8/27/2006,"Lexington, Kentucky",50,49
9/1/2006,"Mahad, Iran",148,29
9/2/2006,"Near Kandahar, Afghanistan",14,14
9/11/2006,"Vladikavkaz, Russia",15,12
9/17/2006,"Vandeikya, Nigeria",18,13
9/29/2006,"Near Sao Felix do Araguaia , Brazil",161,154
10/10/2006,"Stord, Norway",16,4
10/19/2006,"Tashkent, Russia",15,15
